Sex,Age,Location,2017,2018,2019,avg_mortality
Female,(40-44),Sofia (stolitsa),83.0,106.0,75.0,88.0
Female,(40-44),Stara Zagora,20.0,20.0,22.0,20.67
Female,(40-44),Targovishte,6.0,10.0,9.0,8.33
Female,(40-44),Varna,33.0,31.0,29.0,31.0
Female,(40-44),Veliko Tarnovo,17.0,16.0,14.0,15.67
Female,(40-44),Vidin,9.0,3.0,7.0,6.33
Female,(40-44),Vratsa,14.0,13.0,20.0,15.67
Female,(40-44),Yambol,9.0,9.0,6.0,8.0
Female,(45-49),Blagoevgrad,23.0,30.0,19.0,24.0
Female,(45-49),Burgas,43.0,43.0,42.0,42.67
Female,(45-49),Dobrich,21.0,19.0,17.0,19.0
Female,(45-49),Gabrovo,13.0,9.0,16.0,12.67
Female,(45-49),Haskovo,15.0,21.0,24.0,20.0
Female,(45-49),Kardzhali,10.0,15.0,5.0,10.0
Female,(45-49),Kyustendil,14.0,14.0,9.0,12.33
Female,(45-49),Lovech,14.0,5.0,17.0,12.0
Female,(45-49),Montana,15.0,17.0,18.0,16.67
Female,(45-49),Pazardzhik,35.0,18.0,24.0,25.67
Female,(45-49),Pernik,14.0,13.0,11.0,12.67
Female,(45-49),Pleven,20.0,24.0,16.0,20.0
Female,(45-49),Plovdiv,39.0,48.0,57.0,48.0
Female,(45-49),Razgrad,13.0,10.0,8.0,10.33
Female,(45-49),Ruse,30.0,25.0,31.0,28.67
Female,(45-49),Shumen,20.0,17.0,20.0,19.0
Female,(45-49),Silistra,10.0,8.0,6.0,8.0
Female,(45-49),Sliven,18.0,20.0,22.0,20.0
Female,(45-49),Smolyan,7.0,12.0,11.0,10.0
Female,(45-49),Sofia,28.0,31.0,20.0,26.33
Female,(45-49),Sofia (stolitsa),123.0,117.0,112.0,117.33
Female,(45-49),Stara Zagora,26.0,33.0,27.0,28.67
Female,(45-49),Targovishte,12.0,10.0,15.0,12.33
Female,(45-49),Varna,43.0,34.0,36.0,37.67
Female,(45-49),Veliko Tarnovo,22.0,29.0,23.0,24.67
Female,(45-49),Vidin,11.0,11.0,15.0,12.33
Female,(45-49),Vratsa,23.0,31.0,15.0,23.0
Female,(45-49),Yambol,17.0,14.0,14.0,15.0
Female,(5-9),Blagoevgrad,0.0,1.0,0.0,0.33
Female,(5-9),Burgas,1.0,1.0,2.0,1.33
Female,(5-9),Dobrich,0.0,0.0,1.0,0.33
Female,(5-9),Gabrovo,0.0,0.0,0.0,0.0
Female,(5-9),Haskovo,0.0,0.0,2.0,0.67
Female,(5-9),Kardzhali,2.0,0.0,1.0,1.0
Female,(5-9),Kyustendil,0.0,0.0,0.0,0.0
Female,(5-9),Lovech,0.0,1.0,0.0,0.33
Female,(5-9),Montana,0.0,1.0,0.0,0.33
Female,(5-9),Pazardzhik,2.0,2.0,1.0,1.67
Female,(5-9),Pernik,0.0,0.0,1.0,0.33
Female,(5-9),Pleven,0.0,0.0,1.0,0.33
Female,(5-9),Plovdiv,0.0,3.0,0.0,1.0
Female,(5-9),Razgrad,0.0,1.0,1.0,0.67
Female,(5-9),Ruse,0.0,1.0,2.0,1.0
Female,(5-9),Shumen,1.0,1.0,0.0,0.67
Female,(5-9),Silistra,0.0,1.0,0.0,0.33
Female,(5-9),Sliven,0.0,1.0,2.0,1.0
Female,(5-9),Smolyan,0.0,0.0,1.0,0.33
Female,(5-9),Sofia,0.0,1.0,0.0,0.33
Female,(5-9),Sofia (stolitsa),2.0,6.0,5.0,4.33
Female,(5-9),Stara Zagora,0.0,2.0,1.0,1.0
Female,(5-9),Targovishte,0.0,1.0,0.0,0.33
Female,(5-9),Varna,1.0,2.0,4.0,2.33
Female,(5-9),Veliko Tarnovo,1.0,0.0,1.0,0.67
Female,(5-9),Vidin,0.0,0.0,1.0,0.33
Female,(5-9),Vratsa,0.0,0.0,0.0,0.0
Female,(5-9),Yambol,0.0,0.0,0.0,0.0
Female,(50-54),Blagoevgrad,49.0,38.0,43.0,43.33
Female,(50-54),Burgas,51.0,47.0,56.0,51.33
Female,(50-54),Dobrich,31.0,36.0,35.0,34.0
Female,(50-54),Gabrovo,15.0,15.0,17.0,15.67
Female,(50-54),Haskovo,35.0,31.0,27.0,31.0
Female,(50-54),Kardzhali,15.0,20.0,18.0,17.67
Female,(50-54),Kyustendil,18.0,20.0,14.0,17.33
Female,(50-54),Lovech,21.0,24.0,14.0,19.67
Female,(50-54),Montana,32.0,24.0,21.0,25.67
Female,(50-54),Pazardzhik,31.0,37.0,38.0,35.33
Female,(50-54),Pernik,16.0,14.0,23.0,17.67
Female,(50-54),Pleven,36.0,35.0,41.0,37.33
Female,(50-54),Plovdiv,93.0,80.0,83.0,85.33
Female,(50-54),Razgrad,27.0,18.0,11.0,18.67
Female,(50-54),Ruse,40.0,30.0,22.0,30.67
Female,(50-54),Shumen,29.0,24.0,28.0,27.0
Female,(50-54),Silistra,18.0,19.0,11.0,16.0
Female,(50-54),Sliven,39.0,28.0,25.0,30.67
Female,(50-54),Smolyan,18.0,15.0,21.0,18.0
Female,(50-54),Sofia,35.0,32.0,34.0,33.67
Female,(50-54),Sofia (stolitsa),152.0,172.0,127.0,150.33
Female,(50-54),Stara Zagora,63.0,54.0,39.0,52.0
Female,(50-54),Targovishte,11.0,26.0,18.0,18.33
Female,(50-54),Varna,52.0,61.0,60.0,57.67
Female,(50-54),Veliko Tarnovo,30.0,36.0,36.0,34.0
Female,(50-54),Vidin,8.0,8.0,10.0,8.67
Female,(50-54),Vratsa,29.0,25.0,22.0,25.33
Female,(50-54),Yambol,15.0,20.0,12.0,15.67
Female,(55-59),Blagoevgrad,62.0,54.0,71.0,62.33
Female,(55-59),Burgas,86.0,99.0,86.0,90.33
Female,(55-59),Dobrich,49.0,52.0,46.0,49.0
Female,(55-59),Gabrovo,26.0,22.0,26.0,24.67
Female,(55-59),Haskovo,33.0,43.0,62.0,46.0
Female,(55-59),Kardzhali,22.0,21.0,21.0,21.33
Female,(55-59),Kyustendil,34.0,34.0,36.0,34.67
Female,(55-59),Lovech,42.0,28.0,26.0,32.0
Female,(55-59),Montana,36.0,49.0,35.0,40.0
Female,(55-59),Pazardzhik,75.0,62.0,62.0,66.33
Female,(55-59),Pernik,32.0,40.0,38.0,36.67
Female,(55-59),Pleven,53.0,58.0,58.0,56.33
Female,(55-59),Plovdiv,160.0,150.0,141.0,150.33
Female,(55-59),Razgrad,37.0,21.0,23.0,27.0
Female,(55-59),Ruse,53.0,61.0,44.0,52.67
Female,(55-59),Shumen,56.0,46.0,51.0,51.0
Female,(55-59),Silistra,29.0,28.0,24.0,27.0
Female,(55-59),Sliven,58.0,60.0,53.0,57.0
Female,(55-59),Smolyan,22.0,21.0,19.0,20.67
Female,(55-59),Sofia,72.0,75.0,65.0,70.67
Female,(55-59),Sofia (stolitsa),284.0,264.0,232.0,260.0
Female,(55-59),Stara Zagora,85.0,68.0,70.0,74.33
Female,(55-59),Targovishte,32.0,35.0,35.0,34.0
Female,(55-59),Varna,94.0,99.0,87.0,93.33
Female,(55-59),Veliko Tarnovo,70.0,55.0,50.0,58.33
Female,(55-59),Vidin,22.0,26.0,24.0,24.0
