Location,Sex,Age,avg_mortality,avg_population,Interval,M_x,a_x,q_x,p_x,l(x),dx,Lx,Tx,e(x)
Blagoevgrad,Male,(50-54),107.33,11148.33,5,0.009627450927627726,0.5,0.04700588745127185,0.9529941125487281,92845.63036787178,4364.291251414572,453317.4237108225,2357658.4020798216,25.39
Blagoevgrad,Male,(55-59),163.0,11203.33,5,0.014549245626077246,0.5,0.07019308697138792,0.9298069130286121,88481.33911645721,6210.778331946349,426879.7497524202,1904340.9783689992,21.52
Blagoevgrad,Male,(60-64),212.67,10309.67,5,0.020628206334441353,0.5,0.09808284857644507,0.9019171514235549,82270.56078451086,8069.3309557264,391179.4765332383,1477461.228616579,17.96
Blagoevgrad,Male,(65-69),281.67,8829.0,5,0.03190282025144411,0.5,0.1477314745612034,0.8522685254387966,74201.22982878446,10961.85709686108,343601.5064017696,1086281.7520833407,14.64
Blagoevgrad,Male,(70-74),291.67,6541.33,5,0.044588791576025064,0.5,0.20058441607563715,0.7994155839243628,63239.37273192338,12684.832652422425,284484.7820285608,742680.2456815711,11.74
Blagoevgrad,Male,(75-79),310.0,4416.33,5,0.07019402988454214,0.5,0.2985747390360466,0.7014252609639534,50554.540079500955,15094.308611324355,215036.9288691939,458195.4636530103,9.06
Blagoevgrad,Male,(80-84),299.33,2960.0,5,0.10112499999999999,0.5,0.40359191818408574,0.5964080818159143,35460.2314681766,14311.462837493073,141522.5002471503,243158.53478381643,6.86
Blagoevgrad,Male,(85-89),241.0,1417.67,5,0.16999724900717372,0.5,0.5964844542786003,0.4035155457213997,21148.768630683528,12614.911715337645,74206.56386507353,101636.03453666612,4.81
Blagoevgrad,Male,(90+),116.67,375.0,9,0.31112,0.5,1.0,0.0,8533.856915345883,8533.856915345883,27429.47067159258,27429.47067159258,3.21
Blagoevgrad,Total,(0-4),12.67,14112.33,5,0.0008977964659273132,0.5,0.004478929412143166,0.9955210705878569,100000.0,447.89294121431885,498880.2676469642,7618008.013781317,76.18
Blagoevgrad,Total,(5-9),2.0,15146.0,5,0.00013204806549584047,0.5,0.0006600224407629859,0.999339977559237,99552.10705878568,65.70662468404043,497596.2687322183,7119127.746134352,71.51
Blagoevgrad,Total,(10-14),2.33,15429.0,5,0.00015101432367619418,0.5,0.0007547866593887525,0.9992452133406112,99486.40043410164,75.09100783827307,497244.27465091256,6621531.477402134,66.56
Blagoevgrad,Total,(15-19),3.67,13801.33,5,0.0002659164008106465,0.5,0.001328698697114986,0.9986713013028851,99411.30942626337,132.08767731316038,496726.32793803397,6124287.202751221,61.61
Blagoevgrad,Total,(20-24),6.0,12143.33,5,0.0004940984062855906,0.5,0.0024674441308962665,0.9975325558691037,99279.2217489502,244.96593302440306,495783.69391219004,5627560.874813187,56.68
Blagoevgrad,Total,(25-29),10.67,19703.0,5,0.0005415418971730193,0.5,0.002704048596847135,0.9972959514031529,99034.2558159258,267.7934404788539,494501.79547843186,5131777.180900997,51.82
Blagoevgrad,Total,(30-34),18.33,22040.0,5,0.0008316696914700543,0.5,0.004149720465502193,0.9958502795344978,98766.46237544695,409.8532102246536,492807.67885167315,4637275.385422565,46.95
Blagoevgrad,Total,(35-39),23.67,21545.0,5,0.001098630772801114,0.5,0.0054781078194376795,0.9945218921805623,98356.6091652223,538.8081097613758,490436.025551708,4144467.7065708917,42.14
Blagoevgrad,Total,(40-44),49.33,22520.0,5,0.0021904973357015985,0.5,0.010892834864137665,0.9891071651358624,97817.80105546092,1065.5131536701956,486425.2223931291,3654031.6810191837,37.36
Blagoevgrad,Total,(45-49),88.0,22549.33,5,0.0039025549761345455,0.5,0.019324240107196827,0.9806757598928032,96752.28790179073,1869.6644423348334,479087.2784031165,3167606.4586260547,32.74
Blagoevgrad,Total,(50-54),150.67,22617.67,5,0.006661605726849848,0.5,0.03276240310389359,0.9672375968961064,94882.62345945589,3108.582757333643,466641.66040394537,2688519.1802229383,28.34
