Region,Location,Sex,2015,2016,2017,2018,2019,2020,2021,Mean/Expected_Mortality,STANDARD_DEVIATION,Z-Score(95%),Conf_interval,Lower_bound_Mean/Expected_Mortality,Upper_bound_Mean/Expected_Mortality,Excess_mortality,P_Score,P_Score_fluctuation,Mean/Expected_Mortality ±,Excess_mortality ±,P_Score ±
Благоевград,Хаджидимово,Female,68.0,60.0,72.0,48.0,55.0,61.0,84.0,60.6,8.7,1.96,7.6,53.0,68.2,0.4,0.7,11.3,60.6 (±7.6),0.4 (±7.6),0.7% (±11.3%)
Благоевград,Хаджидимово,Male,77.0,66.0,67.0,73.0,72.0,81.0,109.0,71.0,4.0,1.96,3.5,67.5,74.5,10.0,14.1,5.4,71.0 (±3.5),10.0 (±3.5),14.1% (±5.4%)
Благоевград,Хаджидимово,Total,145.0,126.0,139.0,121.0,127.0,142.0,193.0,131.6,8.9,1.96,7.8,123.8,139.4,10.4,7.9,6.0,131.6 (±7.8),10.4 (±7.8),7.9% (±6.0%)
Благоевград,Якоруда,Female,77.0,54.0,65.0,64.0,54.0,97.0,91.0,62.8,8.5,1.96,7.5,55.3,70.3,34.2,54.5,16.5,62.8 (±7.5),34.2 (±7.5),54.5% (±16.5%)
Благоевград,Якоруда,Male,77.0,57.0,78.0,64.0,66.0,89.0,87.0,68.4,8.0,1.96,7.0,61.400000000000006,75.4,20.6,30.1,12.1,68.4 (±7.0),20.6 (±7.0),30.1% (±12.1%)
Благоевград,Якоруда,Total,154.0,111.0,143.0,128.0,120.0,186.0,178.0,131.2,15.5,1.96,13.6,117.6,144.79999999999998,54.8,41.8,13.3,131.2 (±13.6),54.8 (±13.6),41.8% (±13.3%)
Бургас,Айтос,Female,183.0,158.0,189.0,143.0,192.0,228.0,248.0,173.0,19.2,1.96,16.8,156.2,189.8,55.0,31.8,11.7,173.0 (±16.8),55.0 (±16.8),31.8% (±11.7%)
Бургас,Айтос,Male,209.0,196.0,198.0,189.0,188.0,230.0,260.0,196.0,7.6,1.96,6.7,189.3,202.7,34.0,17.3,3.8,196.0 (±6.7),34.0 (±6.7),17.3% (±3.8%)
Бургас,Айтос,Total,392.0,354.0,387.0,332.0,380.0,458.0,508.0,369.0,22.7,1.96,19.9,349.1,388.9,89.0,24.1,6.3,369.0 (±19.9),89.0 (±19.9),24.1% (±6.3%)
Бургас,Бургас,Female,1154.0,1164.0,1203.0,1187.0,1178.0,1294.0,1618.0,1177.2,17.2,1.96,15.1,1162.1000000000001,1192.3,116.8,9.9,1.4,1177.2 (±15.1),116.8 (±15.1),9.9% (±1.4%)
Бургас,Бургас,Male,1270.0,1299.0,1294.0,1282.0,1335.0,1463.0,1711.0,1296.0,21.9,1.96,19.2,1276.8,1315.2,167.0,12.9,1.7,1296.0 (±19.2),167.0 (±19.2),12.9% (±1.7%)
Бургас,Бургас,Total,2424.0,2463.0,2497.0,2469.0,2513.0,2757.0,3329.0,2473.2,30.6,1.96,26.8,2446.3999999999996,2500.0,283.8,11.5,1.2,2473.2 (±26.8),283.8 (±26.8),11.5% (±1.2%)
Бургас,Камено,Female,95.0,92.0,98.0,99.0,87.0,111.0,155.0,94.2,4.4,1.96,3.9,90.3,98.10000000000001,16.8,17.8,4.7,94.2 (±3.9),16.8 (±3.9),17.8% (±4.7%)
Бургас,Камено,Male,124.0,119.0,142.0,124.0,118.0,131.0,156.0,125.4,8.7,1.96,7.6,117.80000000000001,133.0,5.6,4.5,6.0,125.4 (±7.6),5.6 (±7.6),4.5% (±6.0%)
Бургас,Камено,Total,219.0,211.0,240.0,223.0,205.0,242.0,311.0,219.6,12.0,1.96,10.5,209.1,230.1,22.4,10.2,5.0,219.6 (±10.5),22.4 (±10.5),10.2% (±5.0%)
Бургас,Карнобат,Female,214.0,183.0,218.0,199.0,204.0,221.0,283.0,203.6,12.3,1.96,10.8,192.79999999999998,214.4,17.4,8.5,5.4,203.6 (±10.8),17.4 (±10.8),8.5% (±5.4%)
Бургас,Карнобат,Male,203.0,216.0,193.0,230.0,213.0,262.0,306.0,211.0,12.5,1.96,11.0,200.0,222.0,51.0,24.2,6.2,211.0 (±11.0),51.0 (±11.0),24.2% (±6.2%)
Бургас,Карнобат,Total,417.0,399.0,411.0,429.0,417.0,483.0,589.0,414.6,9.7,1.96,8.5,406.1,423.1,68.4,16.5,2.3,414.6 (±8.5),68.4 (±8.5),16.5% (±2.3%)
Бургас,Малко Търново,Female,47.0,40.0,45.0,50.0,54.0,38.0,52.0,47.2,4.7,1.96,4.1,43.1,51.300000000000004,-9.2,-19.5,6.4,47.2 (±4.1),-9.2 (±4.1),-19.5% (±6.4%)
Бургас,Малко Търново,Male,39.0,45.0,41.0,44.0,45.0,33.0,58.0,42.8,2.4,1.96,2.1,40.699999999999996,44.9,-9.8,-22.9,3.6,42.8 (±2.1),-9.8 (±2.1),-22.9% (±3.6%)
Бургас,Малко Търново,Total,86.0,85.0,86.0,94.0,99.0,71.0,110.0,90.0,5.5,1.96,4.8,85.2,94.8,-19.0,-21.1,4.0,90.0 (±4.8),-19.0 (±4.8),-21.1% (±4.0%)
Бургас,Несебър,Female,115.0,116.0,148.0,114.0,129.0,136.0,197.0,124.4,13.0,1.96,11.4,113.0,135.8,11.6,9.3,9.2,124.4 (±11.4),11.6 (±11.4),9.3% (±9.2%)
Бургас,Несебър,Male,150.0,176.0,174.0,158.0,176.0,183.0,229.0,166.8,10.8,1.96,9.5,157.3,176.3,16.2,9.7,5.9,166.8 (±9.5),16.2 (±9.5),9.7% (±5.9%)
Бургас,Несебър,Total,265.0,292.0,322.0,272.0,305.0,319.0,426.0,291.2,21.0,1.96,18.4,272.8,309.59999999999997,27.8,9.5,6.5,291.2 (±18.4),27.8 (±18.4),9.5% (±6.5%)
Бургас,Поморие,Female,200.0,169.0,192.0,182.0,191.0,177.0,221.0,186.8,10.6,1.96,9.3,177.5,196.10000000000002,-9.8,-5.2,4.5,186.8 (±9.3),-9.8 (±9.3),-5.2% (±4.5%)
Бургас,Поморие,Male,196.0,199.0,201.0,201.0,210.0,227.0,268.0,201.4,4.7,1.96,4.1,197.3,205.5,25.6,12.7,2.2,201.4 (±4.1),25.6 (±4.1),12.7% (±2.2%)
Бургас,Поморие,Total,396.0,368.0,393.0,383.0,401.0,404.0,489.0,388.2,11.7,1.96,10.3,377.9,398.5,15.8,4.1,2.7,388.2 (±10.3),15.8 (±10.3),4.1% (±2.7%)
Бургас,Приморско,Female,52.0,51.0,48.0,43.0,58.0,56.0,62.0,50.4,4.9,1.96,4.3,46.1,54.699999999999996,5.6,11.1,8.7,50.4 (±4.3),5.6 (±4.3),11.1% (±8.7%)
Бургас,Приморско,Male,57.0,62.0,52.0,43.0,64.0,69.0,76.0,55.6,7.6,1.96,6.7,48.9,62.300000000000004,13.4,24.1,13.3,55.6 (±6.7),13.4 (±6.7),24.1% (±13.3%)
Бургас,Приморско,Total,109.0,113.0,100.0,86.0,122.0,125.0,138.0,106.0,12.2,1.96,10.7,95.3,116.7,19.0,17.9,10.8,106.0 (±10.7),19.0 (±10.7),17.9% (±10.8%)
Бургас,Руен,Female,119.0,145.0,109.0,150.0,135.0,167.0,204.0,131.6,15.5,1.96,13.6,118.0,145.2,35.4,26.9,11.9,131.6 (±13.6),35.4 (±13.6),26.9% (±11.9%)
Бургас,Руен,Male,149.0,161.0,181.0,155.0,146.0,200.0,227.0,158.4,12.4,1.96,10.9,147.5,169.3,41.6,26.3,8.2,158.4 (±10.9),41.6 (±10.9),26.3% (±8.2%)
Бургас,Руен,Total,268.0,306.0,290.0,305.0,281.0,367.0,431.0,290.0,14.5,1.96,12.7,277.3,302.7,77.0,26.6,5.4,290.0 (±12.7),77.0 (±12.7),26.6% (±5.4%)
Бургас,Созопол,Female,98.0,95.0,101.0,90.0,113.0,103.0,140.0,99.4,7.7,1.96,6.7,92.7,106.10000000000001,3.6,3.6,6.5,99.4 (±6.7),3.6 (±6.7),3.6% (±6.5%)
Бургас,Созопол,Male,135.0,112.0,129.0,131.0,128.0,150.0,162.0,127.0,7.9,1.96,6.9,120.1,133.9,23.0,18.1,6.1,127.0 (±6.9),23.0 (±6.9),18.1% (±6.1%)
Бургас,Созопол,Total,233.0,207.0,230.0,221.0,241.0,253.0,302.0,226.4,11.6,1.96,10.2,216.20000000000002,236.6,26.6,11.7,4.8,226.4 (±10.2),26.6 (±10.2),11.7% (±4.8%)
Бургас,Средец,Female,157.0,143.0,150.0,146.0,150.0,159.0,157.0,149.2,4.7,1.96,4.1,145.1,153.29999999999998,9.8,6.6,2.9,149.2 (±4.1),9.8 (±4.1),6.6% (±2.9%)
Бургас,Средец,Male,166.0,143.0,157.0,168.0,168.0,173.0,205.0,160.4,9.6,1.96,8.4,152.0,168.8,12.6,7.9,5.4,160.4 (±8.4),12.6 (±8.4),7.9% (±5.4%)
Бургас,Средец,Total,323.0,286.0,307.0,314.0,318.0,332.0,362.0,309.6,12.9,1.96,11.3,298.3,320.90000000000003,22.4,7.2,3.7,309.6 (±11.3),22.4 (±11.3),7.2% (±3.7%)
Бургас,Сунгурларе,Female,124.0,130.0,122.0,110.0,116.0,129.0,145.0,120.4,6.9,1.96,6.0,114.4,126.4,8.6,7.1,5.0,120.4 (±6.0),8.6 (±6.0),7.1% (±5.0%)
Бургас,Сунгурларе,Male,135.0,112.0,142.0,120.0,127.0,134.0,149.0,127.2,10.6,1.96,9.3,117.9,136.5,6.8,5.3,7.1,127.2 (±9.3),6.8 (±9.3),5.3% (±7.1%)
Бургас,Сунгурларе,Total,259.0,242.0,264.0,230.0,243.0,263.0,294.0,247.6,12.3,1.96,10.8,236.79999999999998,258.4,15.4,6.2,4.4,247.6 (±10.8),15.4 (±10.8),6.2% (±4.4%)
Бургас,Царево,Female,68.0,71.0,73.0,80.0,68.0,52.0,80.0,72.0,4.4,1.96,3.9,68.1,75.9,-20.0,-27.8,3.7,72.0 (±3.9),-20.0 (±3.9),-27.8% (±3.7%)
Бургас,Царево,Male,72.0,70.0,88.0,65.0,90.0,74.0,98.0,77.0,10.1,1.96,8.9,68.1,85.9,-3.0,-3.9,10.0,77.0 (±8.9),-3.0 (±8.9),-3.9% (±10.0%)
Бургас,Царево,Total,140.0,141.0,161.0,145.0,158.0,126.0,178.0,149.0,8.8,1.96,7.7,141.3,156.7,-23.0,-15.4,4.2,149.0 (±7.7),-23.0 (±7.7),-15.4% (±4.2%)
