Region,Location,Sex,2015,2016,2017,2018,2019,2020,2021,Mean/Expected_Mortality,STANDARD_DEVIATION,Z-Score(95%),Conf_interval,Lower_bound_Mean/Expected_Mortality,Upper_bound_Mean/Expected_Mortality,Excess_mortality,P_Score,P_Score_fluctuation,Mean/Expected_Mortality ±,Excess_mortality ±,P_Score ±
Благоевград,Гърмен,Female,63.0,76.0,72.0,69.0,83.0,72.0,104.0,72.6,6.7,1.96,5.9,66.69999999999999,78.5,31.4,43.3,10.8,72.6 (±5.9),31.4 (±5.9),43.3% (±10.8%)
Благоевград,Гърмен,Male,77.0,91.0,63.0,82.0,85.0,91.0,91.0,79.6,9.5,1.96,8.3,71.3,87.89999999999999,11.4,14.3,10.8,79.6 (±8.3),11.4 (±8.3),14.3% (±10.8%)
Благоевград,Гърмен,Total,140.0,167.0,135.0,151.0,168.0,163.0,195.0,152.2,13.5,1.96,11.8,140.39999999999998,164.0,42.8,28.1,9.2,152.2 (±11.8),42.8 (±11.8),28.1% (±9.2%)
Благоевград,Кресна,Female,56.0,42.0,47.0,39.0,35.0,50.0,75.0,43.8,7.2,1.96,6.3,37.5,50.099999999999994,31.2,71.2,21.5,43.8 (±6.3),31.2 (±6.3),71.2% (±21.5%)
Благоевград,Кресна,Male,48.0,57.0,51.0,40.0,58.0,59.0,83.0,50.8,6.6,1.96,5.8,45.0,56.599999999999994,32.2,63.4,16.8,50.8 (±5.8),32.2 (±5.8),63.4% (±16.8%)
Благоевград,Кресна,Total,104.0,99.0,98.0,79.0,93.0,109.0,158.0,94.6,8.5,1.96,7.5,87.1,102.1,63.4,67.0,12.2,94.6 (±7.5),63.4 (±7.5),67.0% (±12.2%)
Благоевград,Петрич,Female,338.0,314.0,305.0,299.0,312.0,393.0,461.0,313.6,13.3,1.96,11.7,301.90000000000003,325.3,147.4,47.0,5.3,313.6 (±11.7),147.4 (±11.7),47.0% (±5.3%)
Благоевград,Петрич,Male,407.0,365.0,391.0,406.0,401.0,456.0,635.0,394.0,15.6,1.96,13.7,380.3,407.7,241.0,61.2,5.4,394.0 (±13.7),241.0 (±13.7),61.2% (±5.4%)
Благоевград,Петрич,Total,745.0,679.0,696.0,705.0,713.0,849.0,1096.0,707.6,21.9,1.96,19.2,688.4,726.8000000000001,388.4,54.9,4.1,707.6 (±19.2),388.4 (±19.2),54.9% (±4.1%)
Благоевград,Разлог,Female,135.0,124.0,138.0,162.0,133.0,167.0,176.0,138.4,12.7,1.96,11.1,127.30000000000001,149.5,37.6,27.2,9.5,138.4 (±11.1),37.6 (±11.1),27.2% (±9.5%)
Благоевград,Разлог,Male,155.0,154.0,134.0,160.0,144.0,183.0,192.0,149.4,9.3,1.96,8.2,141.20000000000002,157.6,42.6,28.5,6.7,149.4 (±8.2),42.6 (±8.2),28.5% (±6.7%)
Благоевград,Разлог,Total,290.0,278.0,272.0,322.0,277.0,350.0,368.0,287.8,18.1,1.96,15.9,271.90000000000003,303.7,80.2,27.9,6.7,287.8 (±15.9),80.2 (±15.9),27.9% (±6.7%)
Благоевград,Сандански,Female,240.0,238.0,242.0,257.0,253.0,301.0,352.0,246.0,7.6,1.96,6.7,239.3,252.7,106.0,43.1,3.8,246.0 (±6.7),106.0 (±6.7),43.1% (±3.8%)
Благоевград,Сандански,Male,294.0,295.0,305.0,304.0,277.0,355.0,457.0,295.0,10.1,1.96,8.9,286.1,303.9,162.0,54.9,4.5,295.0 (±8.9),162.0 (±8.9),54.9% (±4.5%)
Благоевград,Сандански,Total,534.0,533.0,547.0,561.0,530.0,656.0,809.0,541.0,11.6,1.96,10.2,530.8,551.2,268.0,49.5,2.7,541.0 (±10.2),268.0 (±10.2),49.5% (±2.7%)
Благоевград,Сатовча,Female,69.0,74.0,68.0,78.0,63.0,87.0,109.0,70.4,5.2,1.96,4.6,65.80000000000001,75.0,38.6,54.8,9.5,70.4 (±4.6),38.6 (±4.6),54.8% (±9.5%)
Благоевград,Сатовча,Male,72.0,68.0,95.0,88.0,87.0,102.0,110.0,82.0,10.3,1.96,9.0,73.0,91.0,28.0,34.1,13.2,82.0 (±9.0),28.0 (±9.0),34.1% (±13.2%)
Благоевград,Сатовча,Total,141.0,142.0,163.0,166.0,150.0,189.0,219.0,152.4,10.4,1.96,9.1,143.3,161.5,66.6,43.7,8.1,152.4 (±9.1),66.6 (±9.1),43.7% (±8.1%)
Благоевград,Симитли,Female,89.0,107.0,100.0,109.0,135.0,153.0,140.0,108.0,15.2,1.96,13.3,94.7,121.3,32.0,29.6,14.2,108.0 (±13.3),32.0 (±13.3),29.6% (±14.2%)
Благоевград,Симитли,Male,123.0,112.0,132.0,131.0,111.0,134.0,177.0,121.8,9.0,1.96,7.9,113.89999999999999,129.7,55.2,45.3,8.8,121.8 (±7.9),55.2 (±7.9),45.3% (±8.8%)
Благоевград,Симитли,Total,212.0,219.0,232.0,240.0,246.0,287.0,317.0,229.8,12.7,1.96,11.1,218.70000000000002,240.9,87.2,37.9,6.3,229.8 (±11.1),87.2 (±11.1),37.9% (±6.3%)
Благоевград,Струмяни,Female,57.0,51.0,56.0,57.0,68.0,67.0,82.0,57.8,5.6,1.96,4.9,52.9,62.699999999999996,24.2,41.9,11.1,57.8 (±4.9),24.2 (±4.9),41.9% (±11.1%)
Благоевград,Струмяни,Male,66.0,64.0,51.0,45.0,44.0,75.0,92.0,54.0,9.3,1.96,8.2,45.8,62.2,38.0,70.4,22.5,54.0 (±8.2),38.0 (±8.2),70.4% (±22.5%)
Благоевград,Струмяни,Total,123.0,115.0,107.0,102.0,112.0,142.0,174.0,111.8,7.1,1.96,6.2,105.6,118.0,62.2,55.6,8.1,111.8 (±6.2),62.2 (±6.2),55.6% (±8.1%)
Благоевград,Хаджидимово,Female,68.0,60.0,72.0,48.0,55.0,61.0,84.0,60.6,8.7,1.96,7.6,53.0,68.2,23.4,38.6,15.4,60.6 (±7.6),23.4 (±7.6),38.6% (±15.4%)
Благоевград,Хаджидимово,Male,77.0,66.0,67.0,73.0,72.0,81.0,109.0,71.0,4.0,1.96,3.5,67.5,74.5,38.0,53.5,7.2,71.0 (±3.5),38.0 (±3.5),53.5% (±7.2%)
Благоевград,Хаджидимово,Total,145.0,126.0,139.0,121.0,127.0,142.0,193.0,131.6,8.9,1.96,7.8,123.8,139.4,61.4,46.7,8.2,131.6 (±7.8),61.4 (±7.8),46.7% (±8.2%)
Благоевград,Якоруда,Female,77.0,54.0,65.0,64.0,54.0,97.0,91.0,62.8,8.5,1.96,7.5,55.3,70.3,28.2,44.9,15.5,62.8 (±7.5),28.2 (±7.5),44.9% (±15.5%)
Благоевград,Якоруда,Male,77.0,57.0,78.0,64.0,66.0,89.0,87.0,68.4,8.0,1.96,7.0,61.400000000000006,75.4,18.6,27.2,11.8,68.4 (±7.0),18.6 (±7.0),27.2% (±11.8%)
Благоевград,Якоруда,Total,154.0,111.0,143.0,128.0,120.0,186.0,178.0,131.2,15.5,1.96,13.6,117.6,144.79999999999998,46.8,35.7,12.8,131.2 (±13.6),46.8 (±13.6),35.7% (±12.8%)
Бургас,Айтос,Female,183.0,158.0,189.0,143.0,192.0,228.0,248.0,173.0,19.2,1.96,16.8,156.2,189.8,75.0,43.4,12.7,173.0 (±16.8),75.0 (±16.8),43.4% (±12.7%)
Бургас,Айтос,Male,209.0,196.0,198.0,189.0,188.0,230.0,260.0,196.0,7.6,1.96,6.7,189.3,202.7,64.0,32.7,4.4,196.0 (±6.7),64.0 (±6.7),32.7% (±4.4%)
Бургас,Айтос,Total,392.0,354.0,387.0,332.0,380.0,458.0,508.0,369.0,22.7,1.96,19.9,349.1,388.9,139.0,37.7,7.1,369.0 (±19.9),139.0 (±19.9),37.7% (±7.1%)
Бургас,Бургас,Female,1154.0,1164.0,1203.0,1187.0,1178.0,1294.0,1618.0,1177.2,17.2,1.96,15.1,1162.1000000000001,1192.3,440.8,37.4,1.7,1177.2 (±15.1),440.8 (±15.1),37.4% (±1.7%)
Бургас,Бургас,Male,1270.0,1299.0,1294.0,1282.0,1335.0,1463.0,1711.0,1296.0,21.9,1.96,19.2,1276.8,1315.2,415.0,32.0,1.9,1296.0 (±19.2),415.0 (±19.2),32.0% (±1.9%)
Бургас,Бургас,Total,2424.0,2463.0,2497.0,2469.0,2513.0,2757.0,3329.0,2473.2,30.6,1.96,26.8,2446.3999999999996,2500.0,855.8,34.6,1.4,2473.2 (±26.8),855.8 (±26.8),34.6% (±1.4%)
Бургас,Камено,Female,95.0,92.0,98.0,99.0,87.0,111.0,155.0,94.2,4.4,1.96,3.9,90.3,98.10000000000001,60.8,64.5,6.5,94.2 (±3.9),60.8 (±3.9),64.5% (±6.5%)
Бургас,Камено,Male,124.0,119.0,142.0,124.0,118.0,131.0,156.0,125.4,8.7,1.96,7.6,117.80000000000001,133.0,30.6,24.4,7.1,125.4 (±7.6),30.6 (±7.6),24.4% (±7.1%)
Бургас,Камено,Total,219.0,211.0,240.0,223.0,205.0,242.0,311.0,219.6,12.0,1.96,10.5,209.1,230.1,91.4,41.6,6.4,219.6 (±10.5),91.4 (±10.5),41.6% (±6.4%)
Бургас,Карнобат,Female,214.0,183.0,218.0,199.0,204.0,221.0,283.0,203.6,12.3,1.96,10.8,192.79999999999998,214.4,79.4,39.0,7.0,203.6 (±10.8),79.4 (±10.8),39.0% (±7.0%)
Бургас,Карнобат,Male,203.0,216.0,193.0,230.0,213.0,262.0,306.0,211.0,12.5,1.96,11.0,200.0,222.0,95.0,45.0,7.2,211.0 (±11.0),95.0 (±11.0),45.0% (±7.2%)
Бургас,Карнобат,Total,417.0,399.0,411.0,429.0,417.0,483.0,589.0,414.6,9.7,1.96,8.5,406.1,423.1,174.4,42.1,2.9,414.6 (±8.5),174.4 (±8.5),42.1% (±2.9%)
Бургас,Малко Търново,Female,47.0,40.0,45.0,50.0,54.0,38.0,52.0,47.2,4.7,1.96,4.1,43.1,51.300000000000004,4.8,10.2,8.8,47.2 (±4.1),4.8 (±4.1),10.2% (±8.8%)
Бургас,Малко Търново,Male,39.0,45.0,41.0,44.0,45.0,33.0,58.0,42.8,2.4,1.96,2.1,40.699999999999996,44.9,15.2,35.5,6.3,42.8 (±2.1),15.2 (±2.1),35.5% (±6.3%)
Бургас,Малко Търново,Total,86.0,85.0,86.0,94.0,99.0,71.0,110.0,90.0,5.5,1.96,4.8,85.2,94.8,20.0,22.2,6.2,90.0 (±4.8),20.0 (±4.8),22.2% (±6.2%)
Бургас,Несебър,Female,115.0,116.0,148.0,114.0,129.0,136.0,197.0,124.4,13.0,1.96,11.4,113.0,135.8,72.6,58.4,13.3,124.4 (±11.4),72.6 (±11.4),58.4% (±13.3%)
Бургас,Несебър,Male,150.0,176.0,174.0,158.0,176.0,183.0,229.0,166.8,10.8,1.96,9.5,157.3,176.3,62.2,37.3,7.4,166.8 (±9.5),62.2 (±9.5),37.3% (±7.4%)
Бургас,Несебър,Total,265.0,292.0,322.0,272.0,305.0,319.0,426.0,291.2,21.0,1.96,18.4,272.8,309.59999999999997,134.8,46.3,8.7,291.2 (±18.4),134.8 (±18.4),46.3% (±8.7%)
Бургас,Поморие,Female,200.0,169.0,192.0,182.0,191.0,177.0,221.0,186.8,10.6,1.96,9.3,177.5,196.10000000000002,34.2,18.3,5.6,186.8 (±9.3),34.2 (±9.3),18.3% (±5.6%)
Бургас,Поморие,Male,196.0,199.0,201.0,201.0,210.0,227.0,268.0,201.4,4.7,1.96,4.1,197.3,205.5,66.6,33.1,2.7,201.4 (±4.1),66.6 (±4.1),33.1% (±2.7%)
Бургас,Поморие,Total,396.0,368.0,393.0,383.0,401.0,404.0,489.0,388.2,11.7,1.96,10.3,377.9,398.5,100.8,26.0,3.3,388.2 (±10.3),100.8 (±10.3),26.0% (±3.3%)
Бургас,Приморско,Female,52.0,51.0,48.0,43.0,58.0,56.0,62.0,50.4,4.9,1.96,4.3,46.1,54.699999999999996,11.6,23.0,9.7,50.4 (±4.3),11.6 (±4.3),23.0% (±9.7%)
Бургас,Приморско,Male,57.0,62.0,52.0,43.0,64.0,69.0,76.0,55.6,7.6,1.96,6.7,48.9,62.300000000000004,20.4,36.7,14.7,55.6 (±6.7),20.4 (±6.7),36.7% (±14.7%)
Бургас,Приморско,Total,109.0,113.0,100.0,86.0,122.0,125.0,138.0,106.0,12.2,1.96,10.7,95.3,116.7,32.0,30.2,11.9,106.0 (±10.7),32.0 (±10.7),30.2% (±11.9%)
Бургас,Руен,Female,119.0,145.0,109.0,150.0,135.0,167.0,204.0,131.6,15.5,1.96,13.6,118.0,145.2,72.4,55.0,14.5,131.6 (±13.6),72.4 (±13.6),55.0% (±14.5%)
Бургас,Руен,Male,149.0,161.0,181.0,155.0,146.0,200.0,227.0,158.4,12.4,1.96,10.9,147.5,169.3,68.6,43.3,9.2,158.4 (±10.9),68.6 (±10.9),43.3% (±9.2%)
Бургас,Руен,Total,268.0,306.0,290.0,305.0,281.0,367.0,431.0,290.0,14.5,1.96,12.7,277.3,302.7,141.0,48.6,6.2,290.0 (±12.7),141.0 (±12.7),48.6% (±6.2%)
Бургас,Созопол,Female,98.0,95.0,101.0,90.0,113.0,103.0,140.0,99.4,7.7,1.96,6.7,92.7,106.10000000000001,40.6,40.8,8.8,99.4 (±6.7),40.6 (±6.7),40.8% (±8.8%)
Бургас,Созопол,Male,135.0,112.0,129.0,131.0,128.0,150.0,162.0,127.0,7.9,1.96,6.9,120.1,133.9,35.0,27.6,6.6,127.0 (±6.9),35.0 (±6.9),27.6% (±6.6%)
Бургас,Созопол,Total,233.0,207.0,230.0,221.0,241.0,253.0,302.0,226.4,11.6,1.96,10.2,216.20000000000002,236.6,75.6,33.4,5.8,226.4 (±10.2),75.6 (±10.2),33.4% (±5.8%)
Бургас,Средец,Female,157.0,143.0,150.0,146.0,150.0,159.0,157.0,149.2,4.7,1.96,4.1,145.1,153.29999999999998,7.8,5.2,2.8,149.2 (±4.1),7.8 (±4.1),5.2% (±2.8%)
Бургас,Средец,Male,166.0,143.0,157.0,168.0,168.0,173.0,205.0,160.4,9.6,1.96,8.4,152.0,168.8,44.6,27.8,6.4,160.4 (±8.4),44.6 (±8.4),27.8% (±6.4%)
Бургас,Средец,Total,323.0,286.0,307.0,314.0,318.0,332.0,362.0,309.6,12.9,1.96,11.3,298.3,320.90000000000003,52.4,16.9,4.1,309.6 (±11.3),52.4 (±11.3),16.9% (±4.1%)
Бургас,Сунгурларе,Female,124.0,130.0,122.0,110.0,116.0,129.0,145.0,120.4,6.9,1.96,6.0,114.4,126.4,24.6,20.4,5.7,120.4 (±6.0),24.6 (±6.0),20.4% (±5.7%)
Бургас,Сунгурларе,Male,135.0,112.0,142.0,120.0,127.0,134.0,149.0,127.2,10.6,1.96,9.3,117.9,136.5,21.8,17.1,7.9,127.2 (±9.3),21.8 (±9.3),17.1% (±7.9%)
Бургас,Сунгурларе,Total,259.0,242.0,264.0,230.0,243.0,263.0,294.0,247.6,12.3,1.96,10.8,236.79999999999998,258.4,46.4,18.7,4.9,247.6 (±10.8),46.4 (±10.8),18.7% (±4.9%)
Бургас,Царево,Female,68.0,71.0,73.0,80.0,68.0,52.0,80.0,72.0,4.4,1.96,3.9,68.1,75.9,8.0,11.1,5.7,72.0 (±3.9),8.0 (±3.9),11.1% (±5.7%)
Бургас,Царево,Male,72.0,70.0,88.0,65.0,90.0,74.0,98.0,77.0,10.1,1.96,8.9,68.1,85.9,21.0,27.3,13.2,77.0 (±8.9),21.0 (±8.9),27.3% (±13.2%)
Бургас,Царево,Total,140.0,141.0,161.0,145.0,158.0,126.0,178.0,149.0,8.8,1.96,7.7,141.3,156.7,29.0,19.5,5.9,149.0 (±7.7),29.0 (±7.7),19.5% (±5.9%)
Варна,Аврен,Female,91.0,90.0,79.0,84.0,82.0,77.0,111.0,85.2,4.6,1.96,4.0,81.2,89.2,25.8,30.3,5.9,85.2 (±4.0),25.8 (±4.0),30.3% (±5.9%)
Варна,Аврен,Male,90.0,107.0,102.0,102.0,83.0,127.0,140.0,96.8,8.9,1.96,7.8,89.0,104.6,43.2,44.6,10.8,96.8 (±7.8),43.2 (±7.8),44.6% (±10.8%)
Варна,Аврен,Total,181.0,197.0,181.0,186.0,165.0,204.0,251.0,182.0,10.3,1.96,9.0,173.0,191.0,69.0,37.9,6.5,182.0 (±9.0),69.0 (±9.0),37.9% (±6.5%)
Варна,Аксаково,Female,156.0,143.0,191.0,138.0,133.0,185.0,212.0,152.2,20.9,1.96,18.3,133.89999999999998,170.5,59.8,39.3,15.0,152.2 (±18.3),59.8 (±18.3),39.3% (±15.0%)
Варна,Аксаково,Male,151.0,185.0,202.0,201.0,172.0,215.0,252.0,182.2,19.1,1.96,16.7,165.5,198.89999999999998,69.8,38.3,11.6,182.2 (±16.7),69.8 (±16.7),38.3% (±11.6%)
Варна,Аксаково,Total,307.0,328.0,393.0,339.0,305.0,400.0,464.0,334.4,32.0,1.96,28.0,306.4,362.4,129.6,38.8,10.8,334.4 (±28.0),129.6 (±28.0),38.8% (±10.8%)
Варна,Белослав,Female,69.0,54.0,78.0,69.0,80.0,85.0,107.0,70.0,9.2,1.96,8.1,61.9,78.1,37.0,52.9,15.9,70.0 (±8.1),37.0 (±8.1),52.9% (±15.9%)
Варна,Белослав,Male,95.0,91.0,76.0,108.0,81.0,97.0,112.0,90.2,11.2,1.96,9.8,80.4,100.0,21.8,24.2,12.2,90.2 (±9.8),21.8 (±9.8),24.2% (±12.2%)
Варна,Белослав,Total,164.0,145.0,154.0,177.0,161.0,182.0,219.0,160.2,10.6,1.96,9.3,150.89999999999998,169.5,58.8,36.7,7.5,160.2 (±9.3),58.8 (±9.3),36.7% (±7.5%)
Варна,Бяла,Female,38.0,34.0,33.0,30.0,35.0,39.0,41.0,34.0,2.6,1.96,2.3,31.7,36.3,7.0,20.6,7.7,34.0 (±2.3),7.0 (±2.3),20.6% (±7.7%)
Варна,Бяла,Male,34.0,49.0,41.0,42.0,41.0,44.0,54.0,41.4,4.8,1.96,4.2,37.199999999999996,45.6,12.6,30.4,12.0,41.4 (±4.2),12.6 (±4.2),30.4% (±12.0%)
Варна,Бяла,Total,72.0,83.0,74.0,72.0,76.0,83.0,95.0,75.4,4.1,1.96,3.6,71.80000000000001,79.0,19.6,26.0,5.7,75.4 (±3.6),19.6 (±3.6),26.0% (±5.7%)
Варна,Варна,Female,1732.0,1786.0,1767.0,1922.0,1797.0,2133.0,2719.0,1800.8,64.5,1.96,56.5,1744.3,1857.3,918.2,51.0,4.6,1800.8 (±56.5),918.2 (±56.5),51.0% (±4.6%)
Варна,Варна,Male,2004.0,2020.0,1944.0,1982.0,1972.0,2257.0,2779.0,1984.4,26.2,1.96,23.0,1961.4,2007.4,794.6,40.0,1.6,1984.4 (±23.0),794.6 (±23.0),40.0% (±1.6%)
Варна,Варна,Total,3736.0,3806.0,3711.0,3904.0,3769.0,4390.0,5498.0,3785.2,67.4,1.96,59.1,3726.1,3844.2999999999997,1712.8,45.2,2.2,3785.2 (±59.1),1712.8 (±59.1),45.2% (±2.2%)
Варна,Ветрино,Female,73.0,67.0,67.0,75.0,58.0,65.0,86.0,68.0,5.9,1.96,5.2,62.8,73.2,18.0,26.5,9.0,68.0 (±5.2),18.0 (±5.2),26.5% (±9.0%)
Варна,Ветрино,Male,86.0,71.0,85.0,64.0,72.0,67.0,89.0,75.6,8.5,1.96,7.5,68.1,83.1,13.4,17.7,10.6,75.6 (±7.5),13.4 (±7.5),17.7% (±10.6%)
Варна,Ветрино,Total,159.0,138.0,152.0,139.0,130.0,132.0,175.0,143.6,10.4,1.96,9.1,134.5,152.7,31.4,21.9,7.3,143.6 (±9.1),31.4 (±9.1),21.9% (±7.3%)
Варна,Вълчи дол,Female,105.0,108.0,105.0,107.0,112.0,123.0,134.0,107.4,2.6,1.96,2.3,105.10000000000001,109.7,26.6,24.8,2.6,107.4 (±2.3),26.6 (±2.3),24.8% (±2.6%)
Варна,Вълчи дол,Male,121.0,114.0,149.0,126.0,118.0,134.0,118.0,125.6,12.3,1.96,10.8,114.8,136.4,-7.6,-6.1,7.4,125.6 (±10.8),-7.6 (±10.8),-6.1% (±7.4%)
Варна,Вълчи дол,Total,226.0,222.0,254.0,233.0,230.0,257.0,252.0,233.0,11.1,1.96,9.7,223.3,242.7,19.0,8.2,4.4,233.0 (±9.7),19.0 (±9.7),8.2% (±4.4%)
Варна,Девня,Female,65.0,65.0,79.0,69.0,56.0,72.0,103.0,66.8,7.4,1.96,6.5,60.3,73.3,36.2,54.2,13.7,66.8 (±6.5),36.2 (±6.5),54.2% (±13.7%)
Варна,Девня,Male,61.0,65.0,68.0,65.0,70.0,73.0,91.0,65.8,3.1,1.96,2.7,63.099999999999994,68.5,25.2,38.3,5.5,65.8 (±2.7),25.2 (±2.7),38.3% (±5.5%)
Варна,Девня,Total,126.0,130.0,147.0,134.0,126.0,145.0,194.0,132.6,7.8,1.96,6.8,125.8,139.4,61.4,46.3,7.1,132.6 (±6.8),61.4 (±6.8),46.3% (±7.1%)
Варна,Долни чифлик,Female,130.0,156.0,139.0,140.0,131.0,157.0,166.0,139.2,9.3,1.96,8.2,131.0,147.39999999999998,26.8,19.3,6.7,139.2 (±8.2),26.8 (±8.2),19.3% (±6.7%)
Варна,Долни чифлик,Male,156.0,153.0,146.0,144.0,164.0,166.0,198.0,152.6,7.2,1.96,6.3,146.29999999999998,158.9,45.4,29.8,5.2,152.6 (±6.3),45.4 (±6.3),29.8% (±5.2%)
Варна,Долни чифлик,Total,286.0,309.0,285.0,284.0,295.0,323.0,364.0,291.8,9.5,1.96,8.3,283.5,300.1,72.2,24.7,3.4,291.8 (±8.3),72.2 (±8.3),24.7% (±3.4%)
Варна,Дългопол,Female,95.0,116.0,115.0,94.0,105.0,103.0,144.0,105.0,9.4,1.96,8.2,96.8,113.2,39.0,37.1,9.9,105.0 (±8.2),39.0 (±8.2),37.1% (±9.9%)
Варна,Дългопол,Male,130.0,124.0,131.0,125.0,130.0,142.0,177.0,128.0,2.9,1.96,2.5,125.5,130.5,49.0,38.3,2.7,128.0 (±2.5),49.0 (±2.5),38.3% (±2.7%)
Варна,Дългопол,Total,225.0,240.0,246.0,219.0,235.0,245.0,321.0,233.0,9.8,1.96,8.6,224.4,241.6,88.0,37.8,4.9,233.0 (±8.6),88.0 (±8.6),37.8% (±4.9%)
Варна,Провадия,Female,194.0,189.0,161.0,164.0,176.0,188.0,225.0,176.8,13.1,1.96,11.5,165.3,188.3,48.2,27.3,7.8,176.8 (±11.5),48.2 (±11.5),27.3% (±7.8%)
Варна,Провадия,Male,208.0,180.0,178.0,191.0,181.0,226.0,274.0,187.6,11.1,1.96,9.7,177.9,197.29999999999998,86.4,46.1,7.2,187.6 (±9.7),86.4 (±9.7),46.1% (±7.2%)
Варна,Провадия,Total,402.0,369.0,339.0,355.0,357.0,414.0,499.0,364.4,21.1,1.96,18.5,345.9,382.9,134.6,36.9,6.6,364.4 (±18.5),134.6 (±18.5),36.9% (±6.6%)
Варна,Суворово,Female,68.0,65.0,72.0,74.0,60.0,67.0,84.0,67.8,5.0,1.96,4.4,63.4,72.2,16.2,23.9,7.6,67.8 (±4.4),16.2 (±4.4),23.9% (±7.6%)
Варна,Суворово,Male,78.0,81.0,87.0,85.0,81.0,88.0,90.0,82.4,3.2,1.96,2.8,79.60000000000001,85.2,7.6,9.2,3.6,82.4 (±2.8),7.6 (±2.8),9.2% (±3.6%)
Варна,Суворово,Total,146.0,146.0,159.0,159.0,141.0,155.0,174.0,150.2,7.4,1.96,6.5,143.7,156.7,23.8,15.8,4.8,150.2 (±6.5),23.8 (±6.5),15.8% (±4.8%)
Велико Търново,Велико Търново,Female,516.0,520.0,540.0,542.0,542.0,573.0,745.0,532.0,11.5,1.96,10.1,521.9,542.1,213.0,40.0,2.6,532.0 (±10.1),213.0 (±10.1),40.0% (±2.6%)
Велико Търново,Велико Търново,Male,609.0,580.0,588.0,593.0,608.0,686.0,886.0,595.6,11.3,1.96,9.9,585.7,605.5,290.4,48.8,2.5,595.6 (±9.9),290.4 (±9.9),48.8% (±2.5%)
Велико Търново,Велико Търново,Total,1125.0,1100.0,1128.0,1135.0,1150.0,1259.0,1631.0,1127.6,16.3,1.96,14.3,1113.3,1141.8999999999999,503.4,44.6,1.8,1127.6 (±14.3),503.4 (±14.3),44.6% (±1.8%)
Велико Търново,Горна Оряховица,Female,354.0,368.0,340.0,332.0,357.0,391.0,486.0,350.2,12.7,1.96,11.1,339.09999999999997,361.3,135.8,38.8,4.3,350.2 (±11.1),135.8 (±11.1),38.8% (±4.3%)
