Region,Location,Sex,2015,2016,2017,2018,2019,2020,2021
Велико Търново,Стражица,Female,106.0,90.0,111.0,107.0,103.0,108.0,153.0
Велико Търново,Стражица,Male,123.0,133.0,131.0,105.0,104.0,129.0,173.0
Велико Търново,Стражица,Total,229.0,223.0,242.0,212.0,207.0,237.0,326.0
Велико Търново,Сухиндол,Female,46.0,41.0,50.0,49.0,42.0,33.0,45.0
Велико Търново,Сухиндол,Male,40.0,35.0,41.0,34.0,44.0,35.0,37.0
Велико Търново,Сухиндол,Total,86.0,76.0,91.0,83.0,86.0,68.0,82.0
Видин,Белоградчик,Female,74.0,65.0,65.0,61.0,74.0,79.0,80.0
Видин,Белоградчик,Male,70.0,76.0,69.0,73.0,58.0,74.0,100.0
Видин,Белоградчик,Total,144.0,141.0,134.0,134.0,132.0,153.0,180.0
Видин,Бойница,Female,26.0,35.0,21.0,36.0,30.0,24.0,23.0
Видин,Бойница,Male,26.0,21.0,25.0,19.0,15.0,16.0,31.0
Видин,Бойница,Total,52.0,56.0,46.0,55.0,45.0,40.0,54.0
Видин,Брегово,Female,71.0,71.0,70.0,66.0,74.0,65.0,75.0
Видин,Брегово,Male,88.0,93.0,74.0,72.0,86.0,81.0,96.0
Видин,Брегово,Total,159.0,164.0,144.0,138.0,160.0,146.0,171.0
Видин,Видин,Female,496.0,524.0,496.0,450.0,464.0,556.0,657.0
Видин,Видин,Male,528.0,503.0,511.0,479.0,489.0,625.0,744.0
Видин,Видин,Total,1024.0,1027.0,1007.0,929.0,953.0,1181.0,1401.0
Видин,Грамада,Female,34.0,29.0,27.0,25.0,19.0,28.0,27.0
Видин,Грамада,Male,34.0,33.0,38.0,38.0,27.0,31.0,42.0
Видин,Грамада,Total,68.0,62.0,65.0,63.0,46.0,59.0,69.0
Видин,Димово,Female,92.0,88.0,66.0,76.0,87.0,97.0,95.0
Видин,Димово,Male,96.0,86.0,87.0,96.0,80.0,82.0,100.0
Видин,Димово,Total,188.0,174.0,153.0,172.0,167.0,179.0,195.0
Видин,Кула,Female,72.0,69.0,47.0,66.0,55.0,88.0,66.0
Видин,Кула,Male,69.0,61.0,64.0,64.0,57.0,86.0,65.0
Видин,Кула,Total,141.0,130.0,111.0,130.0,112.0,174.0,131.0
Видин,Макреш,Female,27.0,24.0,36.0,20.0,24.0,19.0,35.0
Видин,Макреш,Male,21.0,30.0,27.0,37.0,26.0,30.0,33.0
Видин,Макреш,Total,48.0,54.0,63.0,57.0,50.0,49.0,68.0
Видин,Ново село,Female,41.0,55.0,53.0,61.0,51.0,57.0,46.0
Видин,Ново село,Male,49.0,48.0,36.0,54.0,49.0,50.0,68.0
Видин,Ново село,Total,90.0,103.0,89.0,115.0,100.0,107.0,114.0
Видин,Ружинци,Female,63.0,53.0,58.0,62.0,56.0,49.0,66.0
Видин,Ружинци,Male,60.0,66.0,58.0,65.0,47.0,59.0,69.0
Видин,Ружинци,Total,123.0,119.0,116.0,127.0,103.0,108.0,135.0
Видин,Чупрене,Female,34.0,25.0,42.0,40.0,31.0,34.0,27.0
Видин,Чупрене,Male,34.0,26.0,29.0,32.0,23.0,39.0,37.0
Видин,Чупрене,Total,68.0,51.0,71.0,72.0,54.0,73.0,64.0
Враца,Борован,Female,53.0,47.0,48.0,61.0,54.0,64.0,68.0
Враца,Борован,Male,77.0,60.0,66.0,56.0,54.0,62.0,76.0
Враца,Борован,Total,130.0,107.0,114.0,117.0,108.0,126.0,144.0
Враца,Бяла Слатина,Female,229.0,211.0,257.0,233.0,182.0,237.0,269.0
Враца,Бяла Слатина,Male,234.0,237.0,238.0,228.0,200.0,259.0,310.0
Враца,Бяла Слатина,Total,463.0,448.0,495.0,461.0,382.0,496.0,579.0
Враца,Враца,Female,509.0,483.0,528.0,493.0,510.0,520.0,764.0
