Region,Location,Sex,2015,2016,2017,2018,2019,2020,2021
Стара Загора,Братя Даскалови,Female,115.0,104.0,92.0,112.0,86.0,96.0,127.0
Стара Загора,Братя Даскалови,Male,125.0,109.0,114.0,115.0,107.0,102.0,138.0
Стара Загора,Братя Даскалови,Total,240.0,213.0,206.0,227.0,193.0,198.0,265.0
Стара Загора,Гурково,Female,33.0,34.0,36.0,33.0,43.0,43.0,52.0
Стара Загора,Гурково,Male,37.0,46.0,58.0,34.0,40.0,54.0,53.0
Стара Загора,Гурково,Total,70.0,80.0,94.0,67.0,83.0,97.0,105.0
Стара Загора,Гълъбово,Female,141.0,126.0,119.0,125.0,109.0,135.0,143.0
Стара Загора,Гълъбово,Male,146.0,144.0,142.0,133.0,123.0,141.0,187.0
Стара Загора,Гълъбово,Total,287.0,270.0,261.0,258.0,232.0,276.0,330.0
Стара Загора,Казанлък,Female,549.0,541.0,548.0,557.0,567.0,607.0,715.0
Стара Загора,Казанлък,Male,584.0,591.0,519.0,587.0,600.0,668.0,751.0
Стара Загора,Казанлък,Total,1133.0,1132.0,1067.0,1144.0,1167.0,1275.0,1466.0
Стара Загора,Мъглиж,Female,87.0,108.0,102.0,98.0,90.0,99.0,121.0
Стара Загора,Мъглиж,Male,96.0,107.0,103.0,100.0,121.0,104.0,143.0
Стара Загора,Мъглиж,Total,183.0,215.0,205.0,198.0,211.0,203.0,264.0
Стара Загора,Николаево,Female,40.0,44.0,32.0,38.0,36.0,36.0,49.0
Стара Загора,Николаево,Male,52.0,42.0,41.0,39.0,39.0,45.0,48.0
Стара Загора,Николаево,Total,92.0,86.0,73.0,77.0,75.0,81.0,97.0
Стара Загора,Опан,Female,53.0,40.0,48.0,43.0,35.0,57.0,57.0
Стара Загора,Опан,Male,50.0,59.0,59.0,52.0,48.0,46.0,56.0
Стара Загора,Опан,Total,103.0,99.0,107.0,95.0,83.0,103.0,113.0
Стара Загора,Павел баня,Female,146.0,122.0,147.0,132.0,99.0,136.0,180.0
Стара Загора,Павел баня,Male,144.0,141.0,147.0,133.0,127.0,147.0,186.0
Стара Загора,Павел баня,Total,290.0,263.0,294.0,265.0,226.0,283.0,366.0
Стара Загора,Раднево,Female,176.0,157.0,157.0,174.0,193.0,193.0,226.0
Стара Загора,Раднево,Male,190.0,200.0,221.0,176.0,200.0,217.0,244.0
Стара Загора,Раднево,Total,366.0,357.0,378.0,350.0,393.0,410.0,470.0
Стара Загора,Стара Загора,Female,1045.0,994.0,1086.0,1059.0,1048.0,1192.0,1548.0
Стара Загора,Стара Загора,Male,1105.0,1116.0,1164.0,1171.0,1085.0,1350.0,1525.0
Стара Загора,Стара Загора,Total,2150.0,2110.0,2250.0,2230.0,2133.0,2542.0,3073.0
Стара Загора,Чирпан,Female,183.0,186.0,197.0,173.0,196.0,208.0,248.0
Стара Загора,Чирпан,Male,215.0,192.0,199.0,173.0,204.0,259.0,286.0
Стара Загора,Чирпан,Total,398.0,378.0,396.0,346.0,400.0,467.0,534.0
Търговище,Антоново,Female,40.0,47.0,47.0,43.0,52.0,52.0,70.0
Търговище,Антоново,Male,49.0,57.0,57.0,45.0,57.0,61.0,67.0
Търговище,Антоново,Total,89.0,104.0,104.0,88.0,109.0,113.0,137.0
Търговище,Омуртаг,Female,154.0,143.0,161.0,144.0,149.0,188.0,205.0
Търговище,Омуртаг,Male,167.0,157.0,171.0,120.0,159.0,208.0,262.0
Търговище,Омуртаг,Total,321.0,300.0,332.0,264.0,308.0,396.0,467.0
Търговище,Опака,Female,48.0,61.0,55.0,50.0,53.0,61.0,76.0
Търговище,Опака,Male,69.0,69.0,52.0,64.0,46.0,62.0,79.0
Търговище,Опака,Total,117.0,130.0,107.0,114.0,99.0,123.0,155.0
Търговище,Попово,Female,266.0,246.0,243.0,236.0,266.0,270.0,353.0
Търговище,Попово,Male,307.0,247.0,272.0,264.0,229.0,298.0,367.0
Търговище,Попово,Total,573.0,493.0,515.0,500.0,495.0,568.0,720.0
Търговище,Търговище,Female,362.0,406.0,363.0,411.0,426.0,483.0,547.0
Търговище,Търговище,Male,427.0,417.0,426.0,446.0,451.0,498.0,600.0
Търговище,Търговище,Total,789.0,823.0,789.0,857.0,877.0,981.0,1147.0
Хасково,Димитровград,Female,481.0,431.0,473.0,421.0,466.0,525.0,570.0
Хасково,Димитровград,Male,493.0,463.0,510.0,468.0,461.0,571.0,583.0
Хасково,Димитровград,Total,974.0,894.0,983.0,889.0,927.0,1096.0,1153.0
Хасково,Ивайловград,Female,65.0,46.0,50.0,58.0,64.0,63.0,64.0
Хасково,Ивайловград,Male,49.0,56.0,72.0,80.0,49.0,64.0,108.0
Хасково,Ивайловград,Total,114.0,102.0,122.0,138.0,113.0,127.0,172.0
Хасково,Любимец,Female,97.0,71.0,86.0,57.0,86.0,88.0,115.0
Хасково,Любимец,Male,83.0,99.0,83.0,84.0,89.0,98.0,112.0
Хасково,Любимец,Total,180.0,170.0,169.0,141.0,175.0,186.0,227.0
Хасково,Маджарово,Female,24.0,9.0,24.0,15.0,15.0,15.0,17.0
Хасково,Маджарово,Male,21.0,19.0,27.0,26.0,19.0,17.0,26.0
Хасково,Маджарово,Total,45.0,28.0,51.0,41.0,34.0,32.0,43.0
Хасково,Минерални бани,Female,44.0,33.0,64.0,51.0,39.0,53.0,75.0
Хасково,Минерални бани,Male,61.0,63.0,52.0,58.0,65.0,65.0,66.0
Хасково,Минерални бани,Total,105.0,96.0,116.0,109.0,104.0,118.0,141.0
Хасково,Свиленград,Female,171.0,183.0,150.0,161.0,153.0,187.0,202.0
Хасково,Свиленград,Male,195.0,201.0,172.0,189.0,167.0,221.0,209.0
Хасково,Свиленград,Total,366.0,384.0,322.0,350.0,320.0,408.0,411.0
Хасково,Симеоновград,Female,71.0,77.0,90.0,58.0,58.0,85.0,91.0
Хасково,Симеоновград,Male,87.0,85.0,91.0,86.0,56.0,91.0,115.0
Хасково,Симеоновград,Total,158.0,162.0,181.0,144.0,114.0,176.0,206.0
Хасково,Стамболово,Female,60.0,45.0,52.0,46.0,32.0,55.0,62.0
Хасково,Стамболово,Male,55.0,54.0,68.0,51.0,58.0,70.0,73.0
Хасково,Стамболово,Total,115.0,99.0,120.0,97.0,90.0,125.0,135.0
Хасково,Тополовград,Female,145.0,102.0,110.0,104.0,92.0,107.0,142.0
Хасково,Тополовград,Male,138.0,131.0,123.0,113.0,118.0,144.0,158.0
Хасково,Тополовград,Total,283.0,233.0,233.0,217.0,210.0,251.0,300.0
Хасково,Харманли,Female,201.0,195.0,166.0,194.0,198.0,210.0,278.0
Хасково,Харманли,Male,219.0,191.0,232.0,186.0,194.0,234.0,310.0
Хасково,Харманли,Total,420.0,386.0,398.0,380.0,392.0,444.0,588.0
Хасково,Хасково,Female,606.0,622.0,599.0,605.0,606.0,692.0,850.0
Хасково,Хасково,Male,668.0,673.0,663.0,660.0,702.0,765.0,896.0
Хасково,Хасково,Total,1274.0,1295.0,1262.0,1265.0,1308.0,1457.0,1746.0
Шумен,Велики Преслав,Female,120.0,98.0,114.0,112.0,99.0,111.0,167.0
Шумен,Велики Преслав,Male,143.0,101.0,108.0,122.0,127.0,128.0,173.0
Шумен,Велики Преслав,Total,263.0,199.0,222.0,234.0,226.0,239.0,340.0
Шумен,Венец,Female,41.0,45.0,52.0,55.0,44.0,66.0,78.0
Шумен,Венец,Male,55.0,52.0,49.0,57.0,55.0,61.0,85.0
Шумен,Венец,Total,96.0,97.0,101.0,112.0,99.0,127.0,163.0
Шумен,Върбица,Female,68.0,65.0,62.0,59.0,57.0,77.0,91.0
Шумен,Върбица,Male,62.0,71.0,91.0,69.0,69.0,78.0,125.0
Шумен,Върбица,Total,130.0,136.0,153.0,128.0,126.0,155.0,216.0
Шумен,Каолиново,Female,69.0,78.0,71.0,91.0,83.0,105.0,107.0
Шумен,Каолиново,Male,92.0,72.0,84.0,96.0,98.0,109.0,112.0
Шумен,Каолиново,Total,161.0,150.0,155.0,187.0,181.0,214.0,219.0
Шумен,Каспичан,Female,67.0,63.0,68.0,72.0,58.0,84.0,92.0
Шумен,Каспичан,Male,87.0,91.0,69.0,80.0,81.0,82.0,103.0
Шумен,Каспичан,Total,154.0,154.0,137.0,152.0,139.0,166.0,195.0
Шумен,Никола Козлево,Female,46.0,39.0,40.0,36.0,43.0,64.0,77.0
Шумен,Никола Козлево,Male,47.0,39.0,39.0,47.0,47.0,57.0,69.0
Шумен,Никола Козлево,Total,93.0,78.0,79.0,83.0,90.0,121.0,146.0
Шумен,Нови пазар,Female,128.0,124.0,144.0,128.0,132.0,161.0,183.0
Шумен,Нови пазар,Male,144.0,135.0,164.0,139.0,144.0,149.0,205.0
Шумен,Нови пазар,Total,272.0,259.0,308.0,267.0,276.0,310.0,388.0
Шумен,Смядово,Female,79.0,61.0,71.0,72.0,50.0,94.0,86.0
Шумен,Смядово,Male,79.0,63.0,74.0,79.0,65.0,67.0,99.0
Шумен,Смядово,Total,158.0,124.0,145.0,151.0,115.0,161.0,185.0
Шумен,Хитрино,Female,70.0,63.0,56.0,58.0,69.0,70.0,75.0
Шумен,Хитрино,Male,74.0,68.0,66.0,66.0,82.0,70.0,88.0
Шумен,Хитрино,Total,144.0,131.0,122.0,124.0,151.0,140.0,163.0
Шумен,Шумен,Female,634.0,607.0,643.0,651.0,600.0,677.0,899.0
Шумен,Шумен,Male,649.0,613.0,661.0,679.0,689.0,806.0,885.0
Шумен,Шумен,Total,1283.0,1220.0,1304.0,1330.0,1289.0,1483.0,1784.0
Ямбол,Болярово,Female,68.0,62.0,60.0,63.0,56.0,61.0,52.0
Ямбол,Болярово,Male,53.0,58.0,59.0,51.0,61.0,66.0,59.0
Ямбол,Болярово,Total,121.0,120.0,119.0,114.0,117.0,127.0,111.0
Ямбол,Елхово,Female,166.0,114.0,155.0,137.0,147.0,150.0,167.0
Ямбол,Елхово,Male,158.0,143.0,153.0,153.0,170.0,148.0,186.0
Ямбол,Елхово,Total,324.0,257.0,308.0,290.0,317.0,298.0,353.0
Ямбол,Стралджа,Female,132.0,110.0,124.0,131.0,122.0,119.0,163.0
Ямбол,Стралджа,Male,161.0,129.0,142.0,146.0,132.0,141.0,183.0
Ямбол,Стралджа,Total,293.0,239.0,266.0,277.0,254.0,260.0,346.0
Ямбол,Тунджа,Female,283.0,279.0,253.0,292.0,277.0,299.0,308.0
Ямбол,Тунджа,Male,371.0,309.0,330.0,314.0,293.0,338.0,386.0
Ямбол,Тунджа,Total,654.0,588.0,583.0,606.0,570.0,637.0,694.0
Ямбол,Ямбол,Female,473.0,409.0,426.0,430.0,412.0,536.0,565.0
Ямбол,Ямбол,Male,476.0,492.0,462.0,516.0,451.0,591.0,677.0
Ямбол,Ямбол,Total,949.0,901.0,888.0,946.0,863.0,1127.0,1242.0
