Location,Age,Sex,2017,2018,2019,avg_population
Burgas,(25-29),Female,12006.0,11342.0,10547.0,11298.33
Burgas,(25-29),Male,12296.0,11410.0,10591.0,11432.33
Burgas,(25-29),Total,24302.0,22752.0,21138.0,22730.67
Burgas,(30-34),Female,14089.0,14015.0,13762.0,13955.33
Burgas,(30-34),Male,14615.0,14299.0,13877.0,14263.67
Burgas,(30-34),Total,28704.0,28314.0,27639.0,28219.0
Burgas,(35-39),Female,14958.0,14679.0,14432.0,14689.67
Burgas,(35-39),Male,16048.0,15816.0,15479.0,15781.0
Burgas,(35-39),Total,31006.0,30495.0,29911.0,30470.67
Burgas,(40-44),Female,16743.0,16526.0,16059.0,16442.67
Burgas,(40-44),Male,17672.0,17430.0,16901.0,17334.33
Burgas,(40-44),Total,34415.0,33956.0,32960.0,33777.0
Burgas,(45-49),Female,15145.0,15438.0,15854.0,15479.0
Burgas,(45-49),Male,15768.0,15982.0,16473.0,16074.33
Burgas,(45-49),Total,30913.0,31420.0,32327.0,31553.33
Burgas,(5-9),Female,10932.0,10730.0,10280.0,10647.33
Burgas,(5-9),Male,11420.0,11186.0,10978.0,11194.67
Burgas,(5-9),Total,22352.0,21916.0,21258.0,21842.0
Burgas,(50-54),Female,13347.0,13615.0,14014.0,13658.67
Burgas,(50-54),Male,13122.0,13546.0,13915.0,13527.67
Burgas,(50-54),Total,26469.0,27161.0,27929.0,27186.33
Burgas,(55-59),Female,14638.0,14420.0,14353.0,14470.33
Burgas,(55-59),Male,13555.0,13365.0,13460.0,13460.0
Burgas,(55-59),Total,28193.0,27785.0,27813.0,27930.33
Burgas,(60-64),Female,15290.0,15200.0,15177.0,15222.33
Burgas,(60-64),Male,13202.0,12993.0,12912.0,13035.67
Burgas,(60-64),Total,28492.0,28193.0,28089.0,28258.0
Burgas,(65-69),Female,15301.0,15127.0,15017.0,15148.33
Burgas,(65-69),Male,12162.0,12110.0,11991.0,12087.67
Burgas,(65-69),Total,27463.0,27237.0,27008.0,27236.0
Burgas,(70-74),Female,11556.0,12457.0,13316.0,12443.0
Burgas,(70-74),Male,8346.0,8971.0,9494.0,8937.0
Burgas,(70-74),Total,19902.0,21428.0,22810.0,21380.0
Burgas,(75-79),Female,8786.0,8848.0,8916.0,8850.0
Burgas,(75-79),Male,5440.0,5514.0,5667.0,5540.33
Burgas,(75-79),Total,14226.0,14362.0,14583.0,14390.33
Burgas,(80-84),Female,6619.0,6663.0,6536.0,6606.0
Burgas,(80-84),Male,3687.0,3647.0,3507.0,3613.67
Burgas,(80-84),Total,10306.0,10310.0,10043.0,10219.67
Burgas,(85-89),Female,3190.0,3287.0,3500.0,3325.67
Burgas,(85-89),Male,1766.0,1779.0,1817.0,1787.33
Burgas,(85-89),Total,4956.0,5066.0,5317.0,5113.0
Burgas,(90+),Female,1098.0,1178.0,1195.0,1157.0
Burgas,(90+),Male,497.0,549.0,567.0,537.67
Burgas,(90+),Total,1595.0,1727.0,1762.0,1694.67
Varna,(0-4),Female,11015.0,10975.0,10819.0,10936.33
Varna,(0-4),Male,11811.0,11727.0,11455.0,11664.33
Varna,(0-4),Total,22826.0,22702.0,22274.0,22600.67
Varna,(10-14),Female,11318.0,11701.0,12230.0,11749.67
Varna,(10-14),Male,11983.0,12407.0,12878.0,12422.67
Varna,(10-14),Total,23301.0,24108.0,25108.0,24172.33
Varna,(15-19),Female,10379.0,10511.0,10421.0,10437.0
Varna,(15-19),Male,10896.0,11094.0,11104.0,11031.33
